Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Czechia,9.7011,25.1685,0.8222,0.3,8.6212,0.0776,1.1998,0.4941,0.0353,0.0635,0.0565,0,21.2267,0.1729,24.8333,0.187,0.4164,5.6463,0.0212,0.9563,0
Denmark,14.2498,35.4131,1.7484,1.1313,9.2408,0.2285,1.4741,0.7161,0.0152,0.1752,0.0533,0,8.4752,0.2819,14.585,0.5257,1.1846,8.8142,0,1.6874,0
Djibouti,1.3966,11.1065,0.2494,0.291,5.121,0.1912,4.3977,0.4323,0.557,0.3159,0.0333,0,31.449,0.4572,38.8977,0.1247,0.4157,3.8573,0.1413,0.5653,0
Dominica,3.8063,26.925,0.3619,1.6536,13.7339,0.1373,1.4913,4.8172,0.1373,0.468,0.4867,0,12.3237,0.2309,23.0812,1.1856,0.0312,7.232,0.1123,1.7846,0
Dominican Republic,2.2261,15.2779,1.1248,0.2484,7.3718,0.1875,1.4528,2.9103,0.1921,0.0609,0.0797,0,25.8881,0.1218,34.7221,3.6133,0.0703,4.1194,0.0422,0.2906,0
Ecuador,4.7198,20.9283,1.0246,0.2519,8.7453,0.1008,3.6672,0.8566,0.0616,0.0392,0.084,0,23.5541,0.084,29.0745,0.4367,0.0784,6.0803,0.028,0.1848,0
Egypt,3.4231,15.9979,0.8448,1.32,6.4678,0.2992,13.4988,4.4615,0.1584,0.2376,0.1936,0.0704,13.6132,0.66,34.0109,0.7216,0.2992,3.6343,0.0088,0.0792,0
El Salvador,6.3901,23.3032,1.6034,0.4514,6.6547,0.0545,8.1958,5.0669,0.5837,0.0311,0.1401,0,10.2506,0.4514,26.6968,1.4321,0.1167,8.1491,0.1012,0.3269,0
Estonia,6.5339,33.219,1.583,0.2818,10.4279,0.1174,2.8982,0.3664,0.0658,0.1926,0.0892,0,8.4457,0.2865,16.7833,0.3805,1.2495,14.275,0.0188,2.7855,0
Eswatini,3.1415,20.8055,0.4718,0.3682,11.1162,0.2762,12.0023,3.4062,0.2071,0.817,0.3222,0,10.9436,0.1956,29.1945,0.4718,0.6559,5.4315,0.1151,0.0575,0
Ethiopia,1.4358,11.1691,0.2238,0.0559,4.1768,0.1678,11.3929,2.6851,2.5545,2.6851,0.8018,0,17.4156,0.1305,38.8216,0.4102,0.7459,5.1091,0,0.0186,0
Fiji,7.6883,20.0472,0.5773,1.4694,8.423,0.0945,1.5114,8.9635,0.2991,0.1312,0.3569,0,17.8168,0.1732,29.9554,0.084,0.1469,1.7948,0.0262,0.4408,0
Finland,6.3787,36.725,0.8524,0.9384,16.6649,0.0788,1.7872,0.6017,0.0179,0.043,0.0537,0,8.8607,0.2041,13.2732,0.2901,0.5157,11.8155,0.1146,0.7844,0
France,9.1996,30.2594,0.9894,0.8752,11.0864,0.1554,1.4334,0.685,0.0254,0.0285,0.0412,0,15.4658,0.1776,19.7406,0.3869,0.853,7.9533,0.0159,0.6279,0
French Polynesia,4.6648,25.1596,0.822,1.5842,14.0782,0.1277,3.7271,4.7566,0.0399,0.02,0.0758,0,14.0024,0.1397,24.8404,0.1995,0.3192,3.8827,0.2913,1.269,0
Gabon,0.7379,19.2656,0.1956,2.0359,13.4068,0.5957,4.1074,8.9438,0.0089,0,0.5779,0,15.3805,0.2045,30.7344,0.6401,0.0178,2.2937,0.1422,0.7112,0
Gambia,0.2548,6.0418,0.2113,1.3488,1.3488,0.0311,4.9416,12.4751,0.0311,0,0.0124,0,25.9883,0.0746,43.9582,0.0373,0.2362,2.8468,0.0622,0.0995,0
Georgia,7.2612,25.2749,1.1781,0.4284,7.2326,0.1,4.5695,0.6854,0,0.0714,0.0928,0,14.8579,0.1999,24.718,0.2071,1.1566,9.0818,0.1071,2.7774,0
Germany,11.0084,28.1419,1.0462,0.7019,8.9127,0.0472,1.1778,0.8909,0.0101,0.0844,0.0607,0,16.8163,0.216,21.8581,0.2632,1.6739,6.4289,0,0.6614,0
Ghana,0.806,7.6875,0.3472,2.7774,3.1618,0.1736,5.6789,10.9113,0.3968,1.2771,2.0087,0,20.4464,0.248,42.3063,1.2151,0.0868,0.4216,0.0496,0,0
Greece,1.6989,17.9063,0.7749,0.3245,6.6267,0.1424,1.328,1.8413,0.0795,0.0497,0.0431,0,25.5332,0.2848,32.097,0.2484,1.881,8.3355,0.0298,0.7749,0
Grenada,2.4889,23.0842,1.444,1.2856,12.9576,0.0823,1.4883,3.3186,0.19,0.8803,0.0697,0,16.8841,0.1077,26.9158,2.8436,0.1393,4.8195,0.1267,0.874,0
